#Release 13.2 - par O.61xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue Aug 21 23:17:19 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MUX4_hot_map.ncd
#OUTPUT FILE:      MUX4_hot_pad.csv
#PART TYPE:        xc5vlx330
#SPEED GRADE:      -2
#PACKAGE:          ff1760
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
F31,,IOBM,IO_L10P_CC_23,UNUSED,,23,,,,,,,,,
F32,,IOBS,IO_L10N_CC_23,UNUSED,,23,,,,,,,,,
F33,,,VCCO_27,,,27,,,,,any******,,,,
F34,,IOBS,IO_L9N_CC_23,UNUSED,,23,,,,,,,,,
F35,,IOBM,IO_L8P_CC_23,UNUSED,,23,,,,,,,,,
F36,a,IOB,IO_L13P_19,INPUT,LVCMOS25*,19,,,,NONE,,UNLOCATED,NO,NONE,
F37,I2<0>,IOB,IO_L14P_19,INPUT,LVCMOS25*,19,,,,NONE,,UNLOCATED,NO,NONE,
F38,,,GND,,,,,,,,,,,,
F39,Z<13>,IOB,IO_L2P_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F40,Z<0>,IOB,IO_L2N_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F41,,IOBM,IO_L1P_11,UNUSED,,11,,,,,,,,,
F42,,IOBM,IO_L0P_11,UNUSED,,11,,,,,,,,,
G1,,IOBM,IO_L3P_12,UNUSED,,12,,,,,,,,,
G2,,IOBM,IO_L1P_12,UNUSED,,12,,,,,,,,,
G3,,IOBS,IO_L3N_16,UNUSED,,16,,,,,,,,,
G4,,IOBM,IO_L0P_16,UNUSED,,16,,,,,,,,,
G5,,,GND,,,,,,,,,,,,
G6,,IOBM,IO_L0P_20,UNUSED,,20,,,,,,,,,
G7,,IOBM,IO_L2P_20,UNUSED,,20,,,,,,,,,
G8,,IOBS,IO_L19N_24,UNUSED,,24,,,,,,,,,
G9,,IOBS,IO_L15N_24,UNUSED,,24,,,,,,,,,
G10,,,VCCO_28,,,28,,,,,any******,,,,
G11,,IOBS,IO_L11N_CC_24,UNUSED,,24,,,,,,,,,
G12,,IOBS,IO_L9N_CC_24,UNUSED,,24,,,,,,,,,
G13,,IOBS,IO_L8N_CC_24,UNUSED,,24,,,,,,,,,
G14,,IOBM,IO_L1P_5,UNUSED,,5,,,,,,,,,
G15,,,GND,,,,,,,,,,,,
G16,,IOBS,IO_L3N_5,UNUSED,,5,,,,,,,,,
G17,,IOBM,IO_L12P_VRN_7,UNUSED,,7,,,,,,,,,
G18,,IOBS,IO_L12N_VRP_7,UNUSED,,7,,,,,,,,,
G19,,IOBS,IO_L10N_CC_7,UNUSED,,7,,,,,,,,,
G20,,,VCCO_7,,,7,,,,,any******,,,,
G21,,IOBM,IO_L9P_CC_7,UNUSED,,7,,,,,,,,,
G22,,IOBM,IO_L11P_CC_7,UNUSED,,7,,,,,,,,,
G23,,IOBS,IO_L13N_7,UNUSED,,7,,,,,,,,,
G24,,IOBS,IO_L15N_7,UNUSED,,7,,,,,,,,,
G25,,,GND,,,,,,,,,,,,
G26,,IOBM,IO_L19P_7,UNUSED,,7,,,,,,,,,
G27,,IOBM,IO_L15P_5,UNUSED,,5,,,,,,,,,
G28,,IOBM,IO_L17P_5,UNUSED,,5,,,,,,,,,
G29,,IOBS,IO_L17N_5,UNUSED,,5,,,,,,,,,
G30,,,VCCO_31,,,31,,,,,any******,,,,
G31,,IOBS,IO_L6N_23,UNUSED,,23,,,,,,,,,
G32,,IOBM,IO_L6P_23,UNUSED,,23,,,,,,,,,
G33,,IOBM,IO_L5P_23,UNUSED,,23,,,,,,,,,
G34,,IOBS,IO_L4N_VREF_23,UNUSED,,23,,,,,,,,,
G35,,,GND,,,,,,,,,,,,
G36,Z<10>,IOB,IO_L13N_19,OUTPUT,LVCMOS25*,19,12,SLOW,,,,UNLOCATED,NO,NONE,
G37,I4<8>,IOB,IO_L12N_VRP_19,INPUT,LVCMOS25*,19,,,,NONE,,UNLOCATED,NO,NONE,
G38,Z<20>,IOB,IO_L1P_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G39,Z<27>,IOB,IO_L1N_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G40,,,VCCO_23,,,23,,,,,any******,,,,
G41,,IOBS,IO_L1N_11,UNUSED,,11,,,,,,,,,
G42,,IOBS,IO_L0N_11,UNUSED,,11,,,,,,,,,
H1,,IOBS,IO_L3N_12,UNUSED,,12,,,,,,,,,
H2,,,GND,,,,,,,,,,,,
H3,,IOBM,IO_L3P_16,UNUSED,,16,,,,,,,,,
H4,,IOBM,IO_L2P_16,UNUSED,,16,,,,,,,,,
H5,,IOBS,IO_L3N_20,UNUSED,,20,,,,,,,,,
H6,,IOBS,IO_L2N_20,UNUSED,,20,,,,,,,,,
H7,,,VCCO_24,,,24,,,,,any******,,,,
H8,,IOBM,IO_L16P_24,UNUSED,,24,,,,,,,,,
H9,,IOBM,IO_L13P_24,UNUSED,,24,,,,,,,,,
H10,,IOBS,IO_L13N_24,UNUSED,,24,,,,,,,,,
H11,,IOBM,IO_L9P_CC_24,UNUSED,,24,,,,,,,,,
H12,,,GND,,,,,,,,,,,,
H13,,IOBM,IO_L8P_CC_24,UNUSED,,24,,,,,,,,,
H14,,IOBS,IO_L1N_5,UNUSED,,5,,,,,,,,,
H15,,IOBM,IO_L7P_5,UNUSED,,5,,,,,,,,,
H16,,IOBM,IO_L3P_5,UNUSED,,5,,,,,,,,,
H17,,,VCCO_7,,,7,,,,,any******,,,,
H18,,IOBS,IO_L14N_VREF_7,UNUSED,,7,,,,,,,,,
H19,,IOBM,IO_L10P_CC_7,UNUSED,,7,,,,,,,,,
H20,,IOBS,IO_L9N_CC_7,UNUSED,,7,,,,,,,,,
H21,,IOBS,IO_L7N_7,UNUSED,,7,,,,,,,,,
H22,,,GND,,,,,,,,,,,,
H23,,IOBM,IO_L13P_7,UNUSED,,7,,,,,,,,,
H24,,IOBM,IO_L15P_7,UNUSED,,7,,,,,,,,,
H25,,IOBM,IO_L17P_7,UNUSED,,7,,,,,,,,,
H26,,IOBS,IO_L19N_7,UNUSED,,7,,,,,,,,,
H27,,,VCCO_31,,,31,,,,,any******,,,,
H28,,IOBS,IO_L15N_5,UNUSED,,5,,,,,,,,,
H29,,IOBM,IO_L19P_5,UNUSED,,5,,,,,,,,,
H30,,IOBS,IO_L19N_5,UNUSED,,5,,,,,,,,,
H31,,IOBM,IO_L7P_23,UNUSED,,23,,,,,,,,,
H32,,,GND,,,,,,,,,,,,
H33,,IOBS,IO_L5N_23,UNUSED,,23,,,,,,,,,
H34,,IOBM,IO_L4P_23,UNUSED,,23,,,,,,,,,
H35,I4<9>,IOB,IO_L6P_19,INPUT,LVCMOS25*,19,,,,NONE,,UNLOCATED,NO,NONE,
H36,b,IOB,IO_L12P_VRN_19,INPUT,LVCMOS25*,19,,,,NONE,,UNLOCATED,NO,NONE,
H37,,,VCCO_19,,,19,,,,,2.50,,,,
H38,Z<15>,IOB,IO_L0P_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H39,Z<11>,IOB,IO_L0N_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H40,I4<24>,IOB,IO_L10P_CC_15,INPUT,LVCMOS25*,15,,,,NONE,,UNLOCATED,NO,NONE,
H41,,IOBM,IO_L2P_11,UNUSED,,11,,,,,,,,,
H42,,,GND,,,,,,,,,,,,
J1,,IOBS,IO_L2N_12,UNUSED,,12,,,,,,,,,
J2,,IOBM,IO_L2P_12,UNUSED,,12,,,,,,,,,
J3,,IOBS,IO_L2N_16,UNUSED,,16,,,,,,,,,
J4,,,VCCO_24,,,24,,,,,any******,,,,
J5,,IOBM,IO_L3P_20,UNUSED,,20,,,,,,,,,
J6,,IOBS,IO_L5N_20,UNUSED,,20,,,,,,,,,
J7,,IOBM,IO_L4P_20,UNUSED,,20,,,,,,,,,
J8,,IOBS,IO_L16N_24,UNUSED,,24,,,,,,,,,
J9,,,GND,,,,,,,,,,,,
J10,,IOBM,IO_L7P_24,UNUSED,,24,,,,,,,,,
J11,,IOBS,IO_L7N_24,UNUSED,,24,,,,,,,,,
J12,,IOBS,IO_L6N_24,UNUSED,,24,,,,,,,,,
J13,,IOBS,IO_L2N_GC_VRP_3,UNUSED,,3,,,,,,,,,
J14,,,VCCO_1,,,1,,,,,any******,,,,
J15,,IOBS,IO_L7N_5,UNUSED,,5,,,,,,,,,
J16,,IOBS,IO_L5N_5,UNUSED,,5,,,,,,,,,
J17,,IOBM,IO_L5P_5,UNUSED,,5,,,,,,,,,
J18,,IOBM,IO_L14P_7,UNUSED,,7,,,,,,,,,
J19,,,GND,,,,,,,,,,,,
J20,,IOBS,IO_L16N_7,UNUSED,,7,,,,,,,,,
J21,,IOBM,IO_L7P_7,UNUSED,,7,,,,,,,,,
J22,,IOBM,IO_L8P_CC_7,UNUSED,,7,,,,,,,,,
J23,,IOBS,IO_L8N_CC_7,UNUSED,,7,,,,,,,,,
J24,,,VCCO_3,,,3,,,,,any******,,,,
J25,,IOBS,IO_L17N_7,UNUSED,,7,,,,,,,,,
J26,,IOBM,IO_L11P_CC_5,UNUSED,,5,,,,,,,,,
J27,,IOBS,IO_L11N_CC_5,UNUSED,,5,,,,,,,,,
J28,,IOBM,IO_L13P_5,UNUSED,,5,,,,,,,,,
J29,,,GND,,,,,,,,,,,,
J30,,IOBM,IO_L7P_GC_3,UNUSED,,3,,,,,,,,,
J31,,IOBS,IO_L7N_23,UNUSED,,23,,,,,,,,,
J32,,IOBS,IO_L14N_VREF_23,UNUSED,,23,,,,,,,,,
J33,,IOBS,IO_L13N_23,UNUSED,,23,,,,,,,,,
J34,,,GND,,,,,,,,,,,,
J35,I4<3>,IOB,IO_L5N_19,INPUT,LVCMOS25*,19,,,,NONE,,UNLOCATED,NO,NONE,
J36,I4<6>,IOB,IO_L6N_19,INPUT,LVCMOS25*,19,,,,NONE,,UNLOCATED,NO,NONE,
J37,I4<2>,IOB,IO_L7N_19,INPUT,LVCMOS25*,19,,,,NONE,,UNLOCATED,NO,NONE,
J38,I4<21>,IOB,IO_L9N_CC_15,INPUT,LVCMOS25*,15,,,,NONE,,UNLOCATED,NO,NONE,
J39,,,GND,,,,,,,,,,,,
J40,I4<23>,IOB,IO_L10N_CC_15,INPUT,LVCMOS25*,15,,,,NONE,,UNLOCATED,NO,NONE,
J41,,IOBS,IO_L2N_11,UNUSED,,11,,,,,,,,,
J42,,IOBM,IO_L3P_11,UNUSED,,11,,,,,,,,,
K1,,,GND,,,,,,,,,,,,
K2,,IOBM,IO_L5P_12,UNUSED,,12,,,,,,,,,
K3,,IOBM,IO_L5P_16,UNUSED,,16,,,,,,,,,
K4,,IOBS,IO_L5N_16,UNUSED,,16,,,,,,,,,
K5,,IOBM,IO_L5P_20,UNUSED,,20,,,,,,,,,
K6,,,GND,,,,,,,,,,,,
K7,,IOBS,IO_L4N_VREF_20,UNUSED,,20,,,,,,,,,
K8,,IOBM,IO_L17P_24,UNUSED,,24,,,,,,,,,
K9,,IOBS,IO_L17N_24,UNUSED,,24,,,,,,,,,
K10,,IOBS,IO_L4N_VREF_24,UNUSED,,24,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,,IOBM,IO_L6P_24,UNUSED,,24,,,,,,,,,
K13,,IOBM,IO_L2P_GC_VRN_3,UNUSED,,3,,,,,,,,,
K14,,IOBS,IO_L0N_CC_GC_3,UNUSED,,3,,,,,,,,,
K15,,IOBM,IO_L0P_CC_GC_3,UNUSED,,3,,,,,,,,,
K16,,,GND,,,,,,,,,,,,
K17,,IOBM,IO_L12P_VRN_5,UNUSED,,5,,,,,,,,,
K18,,IOBS,IO_L12N_VRP_5,UNUSED,,5,,,,,,,,,
K19,,IOBM,IO_L9P_CC_5,UNUSED,,5,,,,,,,,,
K20,,IOBM,IO_L16P_7,UNUSED,,7,,,,,,,,,
K21,,,GND,,,,,,,,,,,,
K22,,IOBM,IO_L6P_7,UNUSED,,7,,,,,,,,,
K23,,IOBS,IO_L6N_7,UNUSED,,7,,,,,,,,,
K24,,IOBS,IO_L4N_VREF_5,UNUSED,,5,,,,,,,,,
K25,,IOBM,IO_L4P_5,UNUSED,,5,,,,,,,,,
K26,,,GND,,,,,,,,,,,,
K27,,IOBS,IO_L13N_5,UNUSED,,5,,,,,,,,,
K28,,IOBM,IO_L5P_GC_3,UNUSED,,3,,,,,,,,,
K29,,IOBS,IO_L5N_GC_3,UNUSED,,3,,,,,,,,,
K30,,IOBS,IO_L7N_GC_3,UNUSED,,3,,,,,,,,,
K31,,,GND,,,,,,,,,,,,
K32,,IOBM,IO_L14P_23,UNUSED,,23,,,,,,,,,
K33,,IOBM,IO_L13P_23,UNUSED,,23,,,,,,,,,
K34,,IOBS,IO_L12N_VRP_23,UNUSED,,23,,,,,,,,,
K35,I4<5>,IOB,IO_L5P_19,INPUT,LVCMOS25*,19,,,,NONE,,UNLOCATED,NO,NONE,
K36,,,GND,,,,,,,,,,,,
K37,I4<1>,IOB,IO_L7P_19,INPUT,LVCMOS25*,19,,,,NONE,,UNLOCATED,NO,NONE,
K38,Z<30>,IOB,IO_L9P_CC_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
K39,I4<25>,IOB,IO_L11N_CC_15,INPUT,LVCMOS25*,15,,,,NONE,,UNLOCATED,NO,NONE,
K40,Z<26>,IOB,IO_L11P_CC_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
K41,,,VCCO_19,,,19,,,,,2.50,,,,
K42,,IOBS,IO_L3N_11,UNUSED,,11,,,,,,,,,
L1,,IOBS,IO_L5N_12,UNUSED,,12,,,,,,,,,
L2,,IOBM,IO_L4P_12,UNUSED,,12,,,,,,,,,
L3,,,GND,,,,,,,,,,,,
L4,,IOBS,IO_L4N_VREF_16,UNUSED,,16,,,,,,,,,
L5,,IOBM,IO_L4P_16,UNUSED,,16,,,,,,,,,
L6,,IOBS,IO_L7N_20,UNUSED,,20,,,,,,,,,
L7,,IOBM,IO_L7P_20,UNUSED,,20,,,,,,,,,
L8,,,VCCO_20,,,20,,,,,any******,,,,
L9,,IOBM,IO_L4P_24,UNUSED,,24,,,,,,,,,
L10,,IOBS,IO_L5N_24,UNUSED,,24,,,,,,,,,
L11,,IOBM,IO_L5P_24,UNUSED,,24,,,,,,,,,
L12,,IOBS,IO_L2N_24,UNUSED,,24,,,,,,,,,
L13,,,GND,,,,,,,,,,,,
L14,,IOBS,IO_L6N_GC_3,UNUSED,,3,,,,,,,,,
L15,,IOBM,IO_L4P_GC_3,UNUSED,,3,,,,,,,,,
L16,,IOBS,IO_L4N_GC_VREF_3,UNUSED,,3,,,,,,,,,
L17,,IOBS,IO_L14N_VREF_5,UNUSED,,5,,,,,,,,,
L18,,,GND,,,,,,,,,,,,
L19,,IOBS,IO_L9N_CC_5,UNUSED,,5,,,,,,,,,
L20,,IOBM,IO_L18P_7,UNUSED,,7,,,,,,,,,
L21,,IOBS,IO_L18N_7,UNUSED,,7,,,,,,,,,
L22,,IOBM,IO_L4P_7,UNUSED,,7,,,,,,,,,
L23,,,GND,,,,,,,,,,,,
L24,,IOBS,IO_L2N_5,UNUSED,,5,,,,,,,,,
L25,,IOBM,IO_L2P_5,UNUSED,,5,,,,,,,,,
L26,,IOBS,IO_L6N_5,UNUSED,,5,,,,,,,,,
L27,,IOBM,IO_L3P_GC_3,UNUSED,,3,,,,,,,,,
L28,,,GND,,,,,,,,,,,,
L29,,IOBM,IO_L9P_GC_3,UNUSED,,3,,,,,,,,,
L30,,IOBS,IO_L9N_GC_3,UNUSED,,3,,,,,,,,,
L31,,IOBS,IO_L15N_23,UNUSED,,23,,,,,,,,,
L32,,IOBM,IO_L15P_23,UNUSED,,23,,,,,,,,,
L33,,,GND,,,,,,,,,,,,
L34,,IOBM,IO_L12P_VRN_23,UNUSED,,23,,,,,,,,,
L35,Z<7>,IOB,IO_L4N_VREF_19,OUTPUT,LVCMOS25*,19,12,SLOW,,,,UNLOCATED,NO,NONE,
L36,Z<8>,IOB,IO_L4P_19,OUTPUT,LVCMOS25*,19,12,SLOW,,,,UNLOCATED,NO,NONE,
L37,Z<4>,IOB,IO_L2P_19,OUTPUT,LVCMOS25*,19,12,SLOW,,,,UNLOCATED,NO,NONE,
L38,,,VCCO_19,,,19,,,,,2.50,,,,
L39,I4<19>,IOB,IO_L8N_CC_15,INPUT,LVCMOS25*,15,,,,NONE,,UNLOCATED,NO,NONE,
L40,,IOBM,IO_L4P_11,UNUSED,,11,,,,,,,,,
L41,,IOBS,IO_L4N_VREF_11,UNUSED,,11,,,,,,,,,
L42,,IOBM,IO_L5P_11,UNUSED,,11,,,,,,,,,
M1,,IOBM,IO_L6P_12,UNUSED,,12,,,,,,,,,
M2,,IOBS,IO_L4N_VREF_12,UNUSED,,12,,,,,,,,,
M3,,IOBM,IO_L7P_12,UNUSED,,12,,,,,,,,,
M4,,IOBS,IO_L7N_16,UNUSED,,16,,,,,,,,,
M5,,,VCCO_20,,,20,,,,,any******,,,,
M6,,IOBS,IO_L6N_20,UNUSED,,20,,,,,,,,,
M7,,IOBM,IO_L6P_20,UNUSED,,20,,,,,,,,,
M8,,IOBM,IO_L9P_CC_20,UNUSED,,20,,,,,,,,,
M9,,IOBS,IO_L9N_CC_20,UNUSED,,20,,,,,,,,,
M10,,,GND,,,,,,,,,,,,
M11,,IOBS,IO_L3N_24,UNUSED,,24,,,,,,,,,
M12,,IOBM,IO_L2P_24,UNUSED,,24,,,,,,,,,
M13,,IOBM,IO_L1P_A17_1,UNUSED,,1,,,,,,,,,
M14,,IOBM,IO_L6P_GC_3,UNUSED,,3,,,,,,,,,
M15,,,GND,,,,,,,,,,,,
M16,,IOBS,IO_L8N_GC_3,UNUSED,,3,,,,,,,,,
M17,,IOBM,IO_L14P_5,UNUSED,,5,,,,,,,,,
M18,,IOBM,IO_L10P_CC_5,UNUSED,,5,,,,,,,,,
M19,,IOBS,IO_L10N_CC_5,UNUSED,,5,,,,,,,,,
M20,,,GND,,,,,,,,,,,,
M21,,IOBS,IO_L5N_7,UNUSED,,7,,,,,,,,,
M22,,IOBS,IO_L4N_VREF_7,UNUSED,,7,,,,,,,,,
M23,,IOBM,IO_L0P_7,UNUSED,,7,,,,,,,,,
M24,,IOBM,IO_L0P_5,UNUSED,,5,,,,,,,,,
M25,,,GND,,,,,,,,,,,,
M26,,IOBM,IO_L6P_5,UNUSED,,5,,,,,,,,,
M27,,IOBM,IO_L1P_CC_GC_3,UNUSED,,3,,,,,,,,,
M28,,IOBS,IO_L3N_GC_3,UNUSED,,3,,,,,,,,,
M29,,IOBS,IO_L6N_A6_D22_1,UNUSED,,1,,,,,,,,,
M30,,,GND,,,,,,,,,,,,
M31,,IOBS,IO_L2N_23,UNUSED,,23,,,,,,,,,
M32,,IOBM,IO_L2P_23,UNUSED,,23,,,,,,,,,
M33,,IOBS,IO_L1N_23,UNUSED,,23,,,,,,,,,
M34,,IOBM,IO_L1P_23,UNUSED,,23,,,,,,,,,
M35,,,VCCO_15,,,15,,,,,2.50,,,,
M36,Z<1>,IOB,IO_L1N_19,OUTPUT,LVCMOS25*,19,12,SLOW,,,,UNLOCATED,NO,NONE,
M37,Z<3>,IOB,IO_L2N_19,OUTPUT,LVCMOS25*,19,12,SLOW,,,,UNLOCATED,NO,NONE,
M38,Z<28>,IOB,IO_L8P_CC_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
M39,I4<20>,IOB,IO_L7N_15,INPUT,LVCMOS25*,15,,,,NONE,,UNLOCATED,NO,NONE,
M40,,,GND,,,,,,,,,,,,
M41,,IOBS,IO_L5N_11,UNUSED,,11,,,,,,,,,
M42,,IOBM,IO_L6P_11,UNUSED,,11,,,,,,,,,
N1,,IOBS,IO_L6N_12,UNUSED,,12,,,,,,,,,
N2,,,GND,,,,,,,,,,,,
N3,,IOBS,IO_L7N_12,UNUSED,,12,,,,,,,,,
N4,,IOBM,IO_L7P_16,UNUSED,,16,,,,,,,,,
N5,,IOBM,IO_L6P_16,UNUSED,,16,,,,,,,,,
N6,,IOBM,IO_L11P_CC_20,UNUSED,,20,,,,,,,,,
N7,,,GND,,,,,,,,,,,,
N8,,IOBS,IO_L10N_CC_20,UNUSED,,20,,,,,,,,,
N9,,IOBS,IO_L8N_CC_20,UNUSED,,20,,,,,,,,,
N10,,IOBS,IO_L1N_24,UNUSED,,24,,,,,,,,,
N11,,IOBM,IO_L3P_24,UNUSED,,24,,,,,,,,,
N12,,,GND,,,,,,,,,,,,
N13,,IOBS,IO_L1N_A16_1,UNUSED,,1,,,,,,,,,
N14,,IOBM,IO_L7P_A5_D21_1,UNUSED,,1,,,,,,,,,
N15,,IOBM,IO_L5P_A9_D25_1,UNUSED,,1,,,,,,,,,
N16,,IOBM,IO_L8P_GC_3,UNUSED,,3,,,,,,,,,
N17,,,GND,,,,,,,,,,,,
N18,,IOBM,IO_L16P_5,UNUSED,,5,,,,,,,,,
N19,,IOBS,IO_L16N_5,UNUSED,,5,,,,,,,,,
N20,,IOBS,IO_L1N_7,UNUSED,,7,,,,,,,,,
N21,,IOBS,IO_L3N_7,UNUSED,,7,,,,,,,,,
N22,,IOBM,IO_L5P_7,UNUSED,,7,,,,,,,,,
N23,,IOBS,IO_L0N_7,UNUSED,,7,,,,,,,,,
N24,,IOBS,IO_L0N_5,UNUSED,,5,,,,,,,,,
N25,,IOBS,IO_L8N_CC_5,UNUSED,,5,,,,,,,,,
N26,,IOBS,IO_L1N_CC_GC_3,UNUSED,,3,,,,,,,,,
N27,,,GND,,,,,,,,,,,,
N28,,IOBM,IO_L4P_A11_D27_1,UNUSED,,1,,,,,,,,,
N29,,IOBM,IO_L6P_A7_D23_1,UNUSED,,1,,,,,,,,,
N30,,IOBS,IO_L8N_CC_A2_D18_1,UNUSED,,1,,,,,,,,,
N31,,IOBM,IO_L3P_23,UNUSED,,23,,,,,,,,,
N32,,,GND,,,,,,,,,,,,
N33,,IOBM,IO_L0P_23,UNUSED,,23,,,,,,,,,
N34,,IOBS,IO_L0N_23,UNUSED,,23,,,,,,,,,
N35,Z<2>,IOB,IO_L1P_19,OUTPUT,LVCMOS25*,19,12,SLOW,,,,UNLOCATED,NO,NONE,
N36,Z<6>,IOB,IO_L3P_19,OUTPUT,LVCMOS25*,19,12,SLOW,,,,UNLOCATED,NO,NONE,
N37,,,GND,,,,,,,,,,,,
N38,Z<21>,IOB,IO_L6N_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
N39,I4<17>,IOB,IO_L7P_15,INPUT,LVCMOS25*,15,,,,NONE,,UNLOCATED,NO,NONE,
N40,,IOBM,IO_L7P_11,UNUSED,,11,,,,,,,,,
N41,,IOBS,IO_L6N_11,UNUSED,,11,,,,,,,,,
N42,,,GND,,,,,,,,,,,,
P1,,IOBS,IO_L9N_CC_12,UNUSED,,12,,,,,,,,,
P2,,IOBM,IO_L9P_CC_12,UNUSED,,12,,,,,,,,,
P3,,IOBM,IO_L8P_CC_12,UNUSED,,12,,,,,,,,,
P4,,,GND,,,,,,,,,,,,
P5,,IOBS,IO_L6N_16,UNUSED,,16,,,,,,,,,
P6,,IOBS,IO_L11N_CC_20,UNUSED,,20,,,,,,,,,
P7,,IOBM,IO_L10P_CC_20,UNUSED,,20,,,,,,,,,
P8,,IOBM,IO_L8P_CC_20,UNUSED,,20,,,,,,,,,
P9,,,VCCO_20,,,20,,,,,any******,,,,
P10,,IOBM,IO_L1P_24,UNUSED,,24,,,,,,,,,
P11,,IOBS,IO_L0N_24,UNUSED,,24,,,,,,,,,
P12,,IOBM,IO_L0P_24,UNUSED,,24,,,,,,,,,
P13,,IOBS,IO_L7N_A4_D20_1,UNUSED,,1,,,,,,,,,
P14,,,GND,,,,,,,,,,,,
P15,,IOBS,IO_L5N_A8_D24_1,UNUSED,,1,,,,,,,,,
P16,,IOBM,IO_L9P_CC_A1_D17_1,UNUSED,,1,,,,,,,,,
P17,,IOBM,IO_L3P_A13_D29_1,UNUSED,,1,,,,,,,,,
P18,,IOBS,IO_L18N_5,UNUSED,,5,,,,,,,,,
P19,,,GND,,,,,,,,,,,,
P20,,IOBM,IO_L1P_7,UNUSED,,7,,,,,,,,,
P21,,IOBM,IO_L3P_7,UNUSED,,7,,,,,,,,,
P22,,IOBS,IO_L2N_7,UNUSED,,7,,,,,,,,,
P23,,IOBM,IO_L2P_7,UNUSED,,7,,,,,,,,,
P24,,,GND,,,,,,,,,,,,
P25,,IOBM,IO_L8P_CC_5,UNUSED,,5,,,,,,,,,
P26,,IOBS,IO_L2N_A14_D30_1,UNUSED,,1,,,,,,,,,
P27,,IOBM,IO_L2P_A15_D31_1,UNUSED,,1,,,,,,,,,
P28,,IOBS,IO_L4N_VREF_A10_D26_1,UNUSED,,1,,,,,,,,,
P29,,,GND,,,,,,,,,,,,
P30,,IOBM,IO_L8P_CC_A3_D19_1,UNUSED,,1,,,,,,,,,
P31,,IOBS,IO_L3N_23,UNUSED,,23,,,,,,,,,
P32,,IOBS,IO_L16N_23,UNUSED,,23,,,,,,,,,
P33,,IOBM,IO_L16P_23,UNUSED,,23,,,,,,,,,
P34,,,GND,,,,,,,,,,,,
P35,c,IOB,IO_L0N_19,INPUT,LVCMOS25*,19,,,,NONE,,UNLOCATED,NO,NONE,
P36,Z<5>,IOB,IO_L3N_19,OUTPUT,LVCMOS25*,19,12,SLOW,,,,UNLOCATED,NO,NONE,
P37,Z<31>,IOB,IO_L5N_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
P38,Z<22>,IOB,IO_L6P_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
P39,,,VCCO_15,,,15,,,,,2.50,,,,
P40,,IOBS,IO_L7N_11,UNUSED,,11,,,,,,,,,
P41,,IOBM,IO_L13P_11,UNUSED,,11,,,,,,,,,
P42,,IOBS,IO_L12N_VRP_11,UNUSED,,11,,,,,,,,,
R1,,,GND,,,,,,,,,,,,
R2,,IOBM,IO_L10P_CC_12,UNUSED,,12,,,,,,,,,
R3,,IOBS,IO_L8N_CC_12,UNUSED,,12,,,,,,,,,
R4,,IOBS,IO_L9N_CC_16,UNUSED,,16,,,,,,,,,
R5,,IOBM,IO_L9P_CC_16,UNUSED,,16,,,,,,,,,
R6,,,VCCO_16,,,16,,,,,any******,,,,
R7,,IOBM,IO_L14P_20,UNUSED,,20,,,,,,,,,
R8,,IOBS,IO_L14N_VREF_20,UNUSED,,20,,,,,,,,,
R9,,IOBM,IO_L13P_20,UNUSED,,20,,,,,,,,,
R10,,IOBS,IO_L12N_VRP_20,UNUSED,,20,,,,,,,,,
R11,,,GND,,,,,,,,,,,,
R12,,,VCCAUX,,,,,,,,2.5,,,,
R13,,,GND,,,,,,,,,,,,
R14,,,D_IN_0,,,,,,,,,,,,
R15,,IOBS,IO_L9N_CC_A0_D16_1,UNUSED,,1,,,,,,,,,
R16,,,GND,,,,,,,,,,,,
